estado,clave,tipo,mate_6,num_evaluados_total,marginacion
AGUASCALIENTES,01DPR0193A,GENERAL,527.82,6,BAJO
AGUASCALIENTES,01DPR0194Z,GENERAL,360.33,5,BAJO
AGUASCALIENTES,01DPR0195Z,GENERAL,416.18,10,BAJO
AGUASCALIENTES,01DPR0196Y,GENERAL,496.8,25,BAJO
AGUASCALIENTES,01DPR0197X,GENERAL,510.87,24,BAJO
AGUASCALIENTES,01DPR0198W,GENERAL,521.3,3,BAJO
AGUASCALIENTES,01DPR0200U,GENERAL,495.13,4,MEDIO
AGUASCALIENTES,01DPR0202S,GENERAL,572.69,55,MUY BAJO
AGUASCALIENTES,01DPR0204Q,GENERAL,547.73,62,MUY BAJO
AGUASCALIENTES,01DPR0205P,GENERAL,552.57,101,MUY BAJO
AGUASCALIENTES,01DPR0206O,GENERAL,422.3,12,BAJO
AGUASCALIENTES,01DPR0207N,GENERAL,636.88,76,MUY BAJO
AGUASCALIENTES,01DPR0208M,GENERAL,475.59,47,MUY BAJO
AGUASCALIENTES,01DPR0209L,GENERAL,407.31,20,BAJO
AGUASCALIENTES,01DPR0210A,GENERAL,525.84,62,BAJO
AGUASCALIENTES,01DPR0211Z,GENERAL,512.8,5,BAJO
AGUASCALIENTES,01DPR0212Z,GENERAL,474.35,52,BAJO
AGUASCALIENTES,01DPR0213Y,GENERAL,424.24,29,BAJO
AGUASCALIENTES,01DPR0214X,GENERAL,590.17,59,MUY BAJO
AGUASCALIENTES,01DPR0216V,GENERAL,625.58,19,MEDIO
AGUASCALIENTES,01DPR0217U,GENERAL,507.03,21,BAJO
AGUASCALIENTES,01DPR0218T,GENERAL,532.75,9,MUY BAJO
AGUASCALIENTES,01DPR0219S,GENERAL,564.06,25,BAJO
AGUASCALIENTES,01DPR0220H,GENERAL,338.5,5,BAJO
AGUASCALIENTES,01DPR0221G,GENERAL,458.32,27,MUY BAJO
AGUASCALIENTES,01DPR0222F,GENERAL,602.29,31,ALTO
AGUASCALIENTES,01DPR0223E,GENERAL,570.89,26,BAJO
AGUASCALIENTES,01DPR0224D,GENERAL,477.15,23,MEDIO
AGUASCALIENTES,01DPR0225C,GENERAL,587.29,58,BAJO
AGUASCALIENTES,01DPR0226B,GENERAL,462.85,57,BAJO
AGUASCALIENTES,01DPR0227A,GENERAL,487.49,39,MUY BAJO
